Factor,VaR_Level,Expected_Breaches,GARCH_Breaches_%,EGARCH_Breaches_%,GARCH_Kupiec_P,EGARCH_Kupiec_P,GARCH_CVaR_%,EGARCH_CVaR_%
SPX,99%,1%,1.77,1.41,0.0001,0.0323,-3.8263,-4.1384
SPX,95%,5%,4.72,5.01,0.4736,0.9702,-2.9758,-2.9296
Momentum,99%,1%,2.1,1.97,0.0,0.0,-3.3101,-3.2109
Momentum,95%,5%,5.8,5.83,0.0474,0.0392,-2.5633,-2.594
Value,99%,1%,2.03,2.0,0.0,0.0,-2.7723,-2.7786
Value,95%,5%,4.72,5.11,0.4736,0.7752,-2.3356,-2.2363
Quality,99%,1%,2.1,1.9,0.0,0.0,-2.8273,-2.9135
Quality,95%,5%,5.41,5.54,0.3071,0.1789,-2.2653,-2.2374
Min_Vol,99%,1%,1.61,1.7,0.002,0.0004,-2.5489,-2.6424
Min_Vol,95%,5%,4.92,4.95,0.8318,0.8974,-1.7541,-1.7358
Size,99%,1%,1.97,1.9,0.0,0.0,-3.0582,-3.2131
Size,95%,5%,5.01,4.92,0.9702,0.8318,-2.4549,-2.4589
