Factor,Regime,Mean_Return_%,Std_%,Sharpe_proxy,Hit_Rate_%,Max_Drawdown_%
SPX,High Vol,0.0958,1.8635,0.0514,55.11,-14.2335
SPX,Low Vol,-0.0529,0.923,-0.0573,51.44,-4.5282
SPX,Medium Vol,0.0545,1.2248,0.0445,52.84,-6.6349
Momentum,High Vol,0.1109,1.7353,0.0639,56.8,-13.1992
Momentum,Low Vol,0.0129,0.7863,0.0164,55.71,-5.1569
Momentum,Medium Vol,0.0339,1.0557,0.0321,53.42,-5.5413
Value,High Vol,0.1033,1.5499,0.0667,54.62,-10.7379
Value,Low Vol,-0.0043,0.6709,-0.0064,52.73,-3.8999
Value,Medium Vol,0.0455,0.8872,0.0513,54.87,-4.5426
Quality,High Vol,0.1059,1.5398,0.0688,56.31,-11.5886
Quality,Low Vol,-0.0071,0.666,-0.0106,53.53,-4.2722
Quality,Medium Vol,0.0518,0.8748,0.0592,55.64,-5.0536
Min_Vol,High Vol,0.0765,1.2822,0.0597,55.91,-10.6269
Min_Vol,Low Vol,0.006,0.5297,0.0113,54.12,-3.67
Min_Vol,Medium Vol,0.0385,0.6682,0.0576,55.26,-3.824
Size,High Vol,0.0966,1.6688,0.0579,54.02,-13.5681
Size,Low Vol,-0.0207,0.7318,-0.0284,49.75,-4.24
Size,Medium Vol,0.046,0.9593,0.0479,52.07,-5.1274
